,index,primary_diagnosis_desc
15338,Sprain of lateral collateral ligament of right kne,1
15339,"Type 2 fracture of sacrum,init encntr for closed ",1
15340,"Sprain of ligaments of cervical spine,subsequent ",1
15341,"Sprain of calcaneofibular ligament of left ankle,",1
15342,DERMATOPHYTOSIS OF HAND,1
15343,"Infection specific to the perinatal period,unspec",1
15344,"Infections of cervix in pregnancy,second trimeste",1
15345,"Infective myositis,unspecified leg",1
15346,DENTOFACIAL ANOM NEC,1
15347,"Infective myositis,unspecified left arm",1
15348,DEPERSONALIZATION DISORD,1
15349,"Infective myositis,right upper arm",1
15350,"Infective myositis,right hand",1
15351,"Infective myositis,right forearm",1
15352,DERANGE ANT LAT MENISCUS,1
15353,"Infective myositis,left shoulder",1
15354,DERMATITIS HERPETIFORMIS,1
15355,"Typhoid fever,unspecified",1
15356,Infective dermatitis,1
15357,DERMATOGRAPHIC URTICARIA,1
15358,"Infections of kidney in pregnancy,unspecified tri",1
15359,"Type III traum spondylolysis of 2nd cervcal vert,",1
15360,Type 2 diabetes w unsp diabetic retinopathy w macu,1
15361,Type 2 diabetes w oth diabetic ophthalmic complica,1
15362,Infect/inflm reaction due to internal r hip prosth,1
15363,Infantile (acute) (chronic) eczema,1
15364,Induration penis plastica,1
15365,Incontinence without sensory awareness,1
15366,Inconclusive laboratory evidence of human immunode,1
15367,Type 2 diab with prolif diab rtnop with macular ed,1
15368,Type 2 diab with prolif diab rtnop with comb detac,1
15369,DIPHTHERITIC PERITONITIS,1
15370,Type 2 diab with mild nonp rtnop without mclr edem,1
15371,Incomplete lesion of L1 level of lumbar spinal cor,1
15372,DIS CARBOHYDR METAB NEC,1
15373,Type 2 diab w prolif diab rtnop w trctn dtch n-mcl,1
15374,DIS MID EAR/MASTOID NEC,1
15375,Incomplete and partial hydatidiform mole,1
15376,Incarcerated fracture of medial epicondyl of r hum,1
15377,Incarcerated fracture of medial epicondyl of l hum,1
15378,Inappropriate diet and eating habits,1
15379,Infant botulism,1
15380,"Infantile idiopathic scoliosis,thoracolumbar regi",1
15381,"Sprain of ligaments of thoracic spine,initial enc",1
15382,DIASTEMATOMYELIA,1
15383,"Infect/inflm reaction due to int left hip prosth,",1
15384,Sprain of medial collateral ligament of right knee,1
15385,"Infect/inflm reaction due to int fix of site,sequ",1
15386,Sprain of metatarsophalangeal joint of left great ,1
15387,"Infect/inflm reaction due to int fix of left ulna,",1
15388,Infect/inflm reaction due to int fix of left humer,1
15389,"Infect/inflm reaction due to int fix of l humerus,",1
15390,"Infect/inflm reaction due to indwell urinary cath,",1
15391,"Sprain of other specified parts of thorax,initial",1
15392,"Sprain of right rotator cuff capsule,initial enco",1
15393,"Sprain of right sternoclavicular joint,initial en",1
15394,"Infect of prt urinary tract in pregnancy,second t",1
15395,"Sprain of sacroiliac joint,initial encounter",1
15396,Type 2 diabetes mellitus with diabetic cataract,1
15397,"Sprain of tibiofibular ligament of left ankle,ini",1
15398,"Infective myositis,unspecified right arm",1
15399,"Spotting complicating pregnancy,first trimester",1
15400,"Inferior dislocation of left humerus,initial enco",1
15401,"Insect bite (nonvenomous) of right elbow,initial ",1
15402,"Insect bite (nonvenomous) of other part of head,i",1
15403,"Insect bite (nonvenomous) of lip,initial encounte",1
15404,"Insect bite (nonvenomous) of left upper arm,init ",1
15405,"Insect bite (nonvenomous) of left index finger,in",1
15406,"Insect bite (nonvenomous) of left hand,initial en",1
15407,"Insect bite (nonvenomous) of left elbow,initial e",1
15408,"Injury of unsp nerve at wrs/hnd lv of right arm,i",1
15409,UNC BEHAV NEO PLACENTA,1
15410,"Injury of ulnar nerve at wrs/hnd lv of right arm,",1
15411,"Injury of trigeminal nerve,unspecified side,init",1
15412,"Injury of other cranial nerves,right side,init e",1
15413,"Injury of other cranial nerves,left side,initial",1
15414,Injury of nerves at wrist and hand level of right ,1
15415,"Injury of nerves at shldr/up arm,left arm,init",1
15416,"Injury of nerve root of lumbar spine,initial enco",1
15417,"Insect bite (nonvenomous) of right ear,initial en",1
15418,Cutaneous nocardiosis,1
15419,Cystostomy malfunction,1
15420,Cutaneous mycobacterial infection,1
15421,Intcrn space-occupying lesion found on dx imaging ,1
15422,"Intcran inj w/o loss of consciousness,subs encntr",1
15423,UNICORNUATE UTERUS       F,1
15424,"Intcran inj w/o loss of consciousness,init encntr",1
15425,"Spondylopathy,unspecified",1
15426,"Instability of internal left knee prosthesis,subs",1
15427,"Insect bite of right eyelid and periocular area,i",1
15428,UNCERT BEHAVIOR NEO NOS,1
15429,UNCERT BEHAV NEO UTERUS,1
15430,"Insect bite (nonvenomous) of right upper arm,sequ",1
15431,UNC BEHAV NEO TESTIS,1
15432,"Insect bite (nonvenomous) of right upper arm,init",1
15433,"Nondisp fx of acromial process,left shoulder,ini",1
15434,"Insect bite (nonvenomous) of right forearm,init e",1
15435,Cutaneous mucormycosis,1
15436,"Injury of nerve root of cervical spine,initial en",1
15437,"Injury of median nerve at forearm level,right arm",1
15438,DEMORALIZATION & APATHY,1
15439,"Inj conjunctiva and corneal abrasion w/o fb,right",1
15440,"Inj branches of celiac and mesenteric artery,init",1
15441,"Inhalant use,unsp with inhalant-induced mood diso",1
15442,DEL W 3 DEG LACERAT-UNSP,1
15443,Inhalant abuse with inhalant-induced mood disorder,1
15444,Influenza due to unidentified influenza virus w my,1
15445,Influenza due to oth ident influenza virus w myoca,1
15446,UMBIL COND NEC AFF NB,1
15447,"Spontaneous rupture of extensor tendons,left hand",1
15448,"Spontaneous rupture of extensor tendons,left lowe",1
15449,DELIVER-SINGLE LIVEBORN,1
15450,ULNAR NERVE INJURY,1
15451,"Spontaneous rupture of other tendons,right lower ",1
15452,Spotted fever due to Rickettsia rickettsii,1
15453,"Inflam disorders of sperm cord,tunica vaginalis a",1
15454,"Inferior dislocation of right humerus,initial enc",1
15455,"Inj conjunctiva and corneal abrasion w/o fb,left ",1
15456,"Inj left quadriceps muscle,fascia and tendon,ini",1
15457,"Injury of left iliac artery,initial encounter",1
15458,"Inj msl/fasc/tnd posterior grp at thi lev,right t",1
15459,"Injury of femoral nrv at hip and thigh level,left",1
15460,"Injury of digital nerve of left index finger,init",1
15461,DAMAGE PELVIC JT-POSTPAR,1
15462,"Injury of bile duct,initial encounter",1
15463,"Spondyls w/o myelopathy or radiculopathy,cervicot",1
15464,"Inj unsp blood vessel at ank/ft level,right leg,",1
15465,"Inj unsp blood vess at hip and thigh level,right ",1
15466,DEEP 3 DEG BURN ELBOW,1
15467,DEEP 3RD DEG BURN FOOT,1
15468,"Inj right quadriceps muscle,fascia and tendon,in",1
15469,"Inj posterior tibial artery,right leg,init encnt",1
15470,"Inj oth blood vessels of thorax,left side,init e",1
15471,"Inj muscle,fascia and tendon of pelvis,init encn",1
15472,"Inj musc/fasc/tend at thigh level,right thigh,in",1
15473,DEFICIENCY OF VITAMIN K,1
15474,Squamous cell carcinoma of skin of lip,1
15475,Type 1 diabetes w prolif diabetic rtnop w/o macula,1
15476,"Strain musc/tend peroneal grp at low leg lev,r le",1
15477,"Trigger finger,left middle finger",1
15478,INJURY ABDOMINAL AORTA,1
15479,"Triplet preg,unsp num plcnta & amnio sacs,second",1
15480,INJ THORACIC VESSEL NOS,1
15481,DRUG INDUCED SLEEP DISOR,1
15482,"Trigger thumb,right thumb",1
15483,INJ POST TIBIAL VEIN,1
15484,INJ NERVE PELV/LEG NOS,1
15485,INJ NERVE PELV/LEG NEC,1
15486,"Impacted cerumen,left ear",1
15487,INJ INTERNAL CAROTID ART,1
15488,INJ INT MAMMARY ART/VEIN,1
15489,INJ COMMON FEMORAL ARTER,1
15490,INGROWING NAIL,1
15491,Trichomonal cystitis and urethritis,1
15492,DUODENUM INJURY-CLOSED,1
15493,Trichinellosis,1
15494,INJURY ARM VESSEL NOS,1
15495,INJURY AXILLARY ARTERY,1
15496,INJURY CRANIAL NERVE NOS,1
15497,INJURY GASTRIC ARTERY,1
15498,INSECT BITE FOREARM,1
15499,Tubulo-interstitial neuropath in sys lupus erythem,1
15500,INSECT BITE FOOT/TOE-INF,1
15501,INSECT BITE FINGER,1
15502,Tuberculous meningitis,1
15503,Tuberculous enteritis,1
15504,INORG DUST PNEUMOCON NEC,1
15505,INLET CONTRACTION-DELIV,1
15506,Tubal pregnancy with intrauterine pregnancy,1
15507,INJURY TO NERVE NOS,1
15508,INJURY RENAL ARTERY,1
15509,INJURY POPLITEAL ARTERY,1
15510,INJURY ILIAC ARTERY,1
15511,INJURY HEPATIC ARTERY,1
15512,"Trisomy 18,unspecified",1
15513,Tributary (branch) retinal vein occlusion right ey,1
15514,INFNT OBSERV-RESPIRATORY,1
15515,INFLAM POSTPROC BLEB NOS,1
15516,Deficiency of other vitamins,1
15517,"Stiffness of left knee,not elsewhere classified",1
15518,"Stiffness of right knee,not elsewhere classified",1
15519,INF ARTHRITIS NOS-UP/ARM,1
15520,INF ARTHRITIS NOS-MULT,1
15521,"Traumatic pneumothorax,subsequent encounter",1
15522,Delayed delivery after artificial rupture of membr,1
15523,"Delayed hemolytic transfs react,unsp incompatibil",1
15524,INF ARTHRIT NOS-FOREARM,1
15525,Delayed or excess hemor fol ectopic and molar preg,1
15526,INCOMPL QUADRIPLEG C1-4,1
15527,"Traumatic ischemia of muscle,sequela",1
15528,INCOMPETENCE OF CERVIX,1
15529,INADEQUATE HOUSING,1
15530,"Traumatic compartment syndrome of r low extrem,se",1
15531,"Strain musc/tend ant grp at low leg level,left le",1
15532,Deficiency of vitamin K,1
15533,"Sternal manubrial dissociation,init for clos fx",1
15534,"Traumatic spondylopathy,thoracic region",1
15535,Stereotyped movement disorders,1
15536,INFERTILITY-TUBAL ORIGIN,1
15537,"Traumatic spondylopathy,lumbar region",1
15538,INFERTILITY-ANOVULATION,1
15539,INFEROLAT AMI-LATR EPISD,1
15540,"Traumatic spondylopathy,cervical region",1
15541,Damage to pelvic organs fol complete or unsp spon ,1
15542,Damage to pelvic organs following incomplete spon ,1
15543,"Decreased fetal movements,second trimester,fetus",1
15544,INFECTION-STAPHYLOC NEC,1
15545,INFECTION-BACTERIA NEC,1
15546,INFECT'N-STREPTOCOC NOS,1
15547,INFECT NOS-DELIVERED,1
15548,INFECT DIS NEC-DEL W P/P,1
15549,INFECT AC DISSEM ENCEPHA,1
15550,"Stenosis of vascular prosth dev/grft,sequela",1
15551,INSECT BITE HAND,1
15552,INSECT BITE HEAD,1
15553,"Twin pregnancy,dichorionic/diamniotic,first trim",1
15554,"Idiopathic chronic gout,left knee,with tophus (t",1
15555,DISLOC 6TH CERV VERT-CL,1
15556,DISLOC 7TH CERV VERT-CL,1
15557,"Idiopathic chronic gout,left ankle and foot,with",1
15558,Idiopathic aseptic necrosis of unspecified femur,1
15559,DISLOC METATARSAL NOS-CL,1
15560,Idiopathic aseptic necrosis of right shoulder,1
15561,Idiopathic aseptic necrosis of right humerus,1
15562,DISLOC SHOULDER NEC-CLOS,1
15563,Idiopathic aseptic necrosis of right ankle,1
15564,DISLOC TARSAL NOS-CLOSED,1
15565,Idiopathic aseptic necrosis of left humerus,1
15566,DISLOC THORACIC VERT-CL,1
15567,Idiopathic aseptic necrosis of left hand,1
15568,DISLOC WRIST NOS-CLOSED,1
15569,DISLOCA MIDCARPAL-CLOSED,1
15570,"Idiopathic chronic gout,left elbow,with tophus (",1
15571,"Idiopathic chronic gout,left knee,without tophus",1
15572,DISLOCAT FOOT NOS-CLOSED,1
15573,DISLOC 2ND CERV VERT-CL,1
15574,Immunodeficiency with increased immunoglobulin M [,1
15575,Type 1 diabetes w prolif diabetic rtnop w macular ,1
15576,"Illness,unspecified",1
15577,"Iliotibial band syndrome,left leg",1
15578,DISC DIS W MYELOPATH NOS,1
15579,Idiopathic hypersomnia with long sleep time,1
15580,"Idiopathic gout,right shoulder",1
15581,"Idiopathic gout,left shoulder",1
15582,"Idiopathic corneal edema,right eye",1
15583,Type 1 diabetes mellitus with unspecified complica,1
15584,"Idiopathic chronic gout,unspecified site,without",1
15585,"Idiopathic chronic gout,right knee,without tophu",1
15586,"Idiopathic chronic gout,right elbow,with tophus ",1
15587,"Idiopathic chronic gout,right ankle and foot,wit",1
15588,DISL METATARSOPHALANG-CL,1
15589,DISLOCAT FOOT NEC-CLOSED,1
15590,IVH UNSPECIFIED GRADE,1
15591,INSECT BITE NEC,1
15592,"Stable burst fx first lum vertebra,subs for fx w ",1
15593,INTESTIN TB NEC-HISTO DX,1
15594,"Stable burst fx fourth lum vert,subs for fx w rou",1
15595,"Stable burst fx third lum vertebra,subs for fx w ",1
15596,DISSEM CHORIORETINIT NOS,1
15597,INTERRUPT OF AORTIC ARCH,1
15598,DISUSE OSTEOPOROSIS,1
15599,INTERNUCL OPHTHALMOPLEG,1
15600,INTERNAL INJ NOS-CLOSED,1
15601,INTERMIT ANGL-CLOS GLAUC,1
15602,Type 1 diab with prolif diab rtnop with macular ed,1
15603,DIVERTICULUM OF PHARYNX,1
15604,INTEGUMENT TISS SYMP NEC,1
15605,"Twin pregnancy,monochorionic/diamniotic,unsp tri",1
15606,INSECT BITE TRUNK-INFEC,1
15607,"Twin pregnancy,dichorionic/diamniotic,unsp trime",1
15608,"Stable burst fx fourth lum vert,subs for fx w del",1
15609,DISPROPORTION NEC-DELIV,1
15610,IVH  GRADE I,1
15611,"Stable burst fracture of unsp lumbar vertebra,ini",1
15612,ISSUE REPEAT PRESCRIPT,1
15613,DISLOCAT STERNUM-CLOSED,1
15614,ISOLATED EXPLOSIVE DIS,1
15615,IRREGULAR EYE MVMNTS NEC,1
15616,IRIDOCYCLITIS NOS,1
15617,INVERS UTERUS-DEL W P/P,1
15618,Squamous cell carcinoma skin/ unsp ear and extrn a,1
15619,INTROVERTED DIS-CHILD,1
15620,"INTRINSIC ASTHMA,UNSPEC",1
15621,INTRAVAG TORS SPERM CORD,1
15622,INTRAUTERINE SYNECHIAE,1
15623,INTRAUTERINE DEATH-UNSP,1
15624,INTRATHORACIC INJ NOS-CL,1
15625,"Stable burst fracture of T5-T6 vertebra,init for ",1
15626,INTRA-ABDOM INJ NEC-OPEN,1
15627,"Symptomatic neurosyphilis,unspecified",1
15628,HODG LYMPH-HISTIO THORAX,1
15629,"Intermittent monocular esotropia,left eye",1
15630,"Felty's syndrome,multiple sites",1
15631,ENDOMETRIOSIS IN SCAR,1
15632,"Fetus-to-fetus placental transfuse syndrome,unsp ",1
15633,ENDOMYOCARDIAL FIBROSIS,1
15634,TOX MULTNOD GOIT W CRIS,1
15635,ENDOTHEL CORNEA DYSTRPHY,1
15636,Female acute pelvic peritonitis,1
15637,"Felty's syndrome,unspecified site",1
15638,"Fatigue fracture of vertebra,thoracic region,ini",1
15639,"Folate deficiency anemia,unspecified",1
15640,"Toxic effect of inorganic substances,accidental,",1
15641,"Fatigue fracture of vertebra,lumbosacral region,",1
15642,ENTERITIS-E. COLI NEC,1
15643,Fat necrosis of breast,1
15644,Family history of diabetes mellitus,1
15645,TOX W OLD HYP-DEL W P/P,1
15646,"ENTHESOPATHY,SITE NOS",1
15647,"Toxic effect of ketones,assault,initial encounte",1
15648,"Toxic effect of latex,accidental (unintentional),",1
15649,ENDOCRINE DISORDERS NEC,1
15650,TOX EFF ORGANPHOS/CARBAM,1
15651,Focal acute infarction of intestine part unspecifi,1
15652,"Toxic effect of paints and dyes,NEC,accidental,",1
15653,TORUS FX FIBULA & TIBIA,1
15654,Flu due to unidentified influenza virus w encephal,1
15655,"Toxic effect of organic solvents,self-harm,init",1
15656,"Flexion deformity,unspecified site",1
15657,ENC CHG/RMV NONSURG DRES,1
15658,"Flexion deformity,right hip",1
15659,ENC FETAL ANAT SURVEY,1
15660,Flaccid hemiplegia affecting right dominant side,1
15661,ENCEP&ENCEP IN VIRAL DIS,1
15662,"Fistula,left elbow",1
15663,"Toxic effect of methanol,accidental (unintentiona",1
15664,ENCOUNTR REMVL SUTURES,1
15665,"Toxic effect of lead and its compounds,accidental",1
15666,ENURESIS,1
15667,"Failed or difficult intubation,sequela",1
15668,Factitious disorder w predom physical signs and sy,1
15669,"FX NAVICULAR,WRIST-OPEN",1
15670,TOXIC EFFECT FUSEL OIL,1
15671,"Toxic effect of detergents,accidental (unintentio",1
15672,FX MEDIAL MALLEOLUS-OPEN,1
15673,FX LUMBAR VERTEBRA-OPEN,1
15674,TOXIC EFFECT OF TOBACCO,1
15675,FX LOWER HUMER NEC-OPEN,1
15676,FX LOW END FEMUR NEC-OPN,1
15677,ESOPH VARICE OTH DIS NOS,1
15678,TOXOPLASM MENINGOENCEPH,1
15679,"Toxic effect of cyanides,accidental,sequela",1
15680,FX HUMERUS NOS-OPEN,1
15681,"Toxic effect of cyanides,accidental (unintentiona",1
15682,"Toxic effect of corrosive organic compounds,self-",1
15683,"Toxic effect of chlorine gas,accidental,init",1
15684,"FX HUMER,CONDYL NOS-OPN",1
15685,"FX MULT PHALAN,HAND-CL",1
15686,EPISODIC TENSION TYPE HA,1
15687,EOSINOPHILIA MYALGIA SYN,1
15688,TOXIC EFFECT BERYLLIUM,1
15689,Factitial dermatitis,1
15690,Facial weakness following ntrm subarachnoid hemorr,1
15691,EPIDEM HEM CONJUNCTIVIT,1
15692,EPIDEM KERATOCONJUNCTIV,1
15693,EPIDEMIC VERTIGO,1
15694,Fabry (-Anderson) disease,1
15695,"Toxic effect of hydrogen cyanide,accidental,init",1
15696,EPIGASTRIC ABD/PEL SWELL,1
15697,FX UPPER HUMERUS NEC-OPN,1
15698,FX UP ULNA NEC/NOS-OPEN,1
15699,FX TIBIA NOS-OPEN,1
15700,"Toxic effect of gases,fumes and vapors,self-harm",1
15701,FX SACR-CL/CAUDA INJ NEC,1
15702,"FX PHALANX,HAND NOS-CL",1
15703,TOXIC EFFECT ARSENIC,1
15704,EMOT DIS CHILD/ADOLE NOS,1
15705,ELEVATED SEDIMENT RATE,1
15706,"Displ assoc transv/post fx r acetab,7thD",1
15707,Fracture of orbital floor unspecified side 7thB,1
15708,"Fracture of ramus of mandible,init for clos fx",1
15709,"Fracture of oth parts of pelvis,subs for fx w rou",1
15710,Fracture of orbital floor unspecified side init,1
15711,Dysarthria following oth nontraumatic intcrn hemor,1
15712,Dysarthria following unspecified cerebrovascular d,1
15713,"Toxic effect of unsp pesticide,accidental,init",1
15714,Dyslexia and alexia,1
15715,"Fracture of one rib,right side,subs for fx w rou",1
15716,ELEV CARCINOEMBRY ANTIGN,1
15717,TOBACCO USE POSTPRT COND,1
15718,Dysphagia following oth nontraumatic intracranial ,1
15719,TONGUE ANOMALY NEC,1
15720,"Fracture of neck,unspecified,subsequent encounte",1
15721,"Fracture of nasal bones,subs for fx w routn heal",1
15722,"Toxic effect of unsp organic solvent,accidental,",1
15723,"Fracture of manubrium,subs for fx w routn heal",1
15724,"Toxic effect of unsp snake venom,accidental,init",1
15725,Fracture of ramus of right mandible 7thB,1
15726,"Fracture of right shoulder girdle,part unsp,init",1
15727,Fracture of skull due to birth injury,1
15728,Drug/chem diabetes w neurological comp w diabetic ,1
15729,"Drusen (degenerative) of macula,bilateral",1
15730,"Fracture of unsp phalanx of left thumb,init for c",1
15731,"Fracture of unsp phalanx of left ring finger,init",1
15732,Toxic erythema,1
15733,"Fracture of unsp part of neck of unsp femur,init",1
15734,"Toxic effect of zinc and its compounds,accidental",1
15735,"Fracture of unsp metatarsal bone(s),left foot,in",1
15736,"Fracture of unsp carpal bone,left wrist,init for",1
15737,Dvtrcli of both small and lg int w perf and absces,1
15738,TOBACCO USE DEL W COMPL,1
15739,"Fracture of superior rim of left pubis,sequela",1
15740,"Toxic effect of venom of bees,undetermined,init ",1
15741,Fracture of subcondylar process of left mandible i,1
15742,"Toxic effect of unsp substance,undetermined,init",1
15743,"Fracture of mandible,unsp,subs for fx w nonunion",1
15744,"Toxic effect of unsp noxious sub eaten as food,un",1
15745,Dysphasia following cerebral infarction,1
15746,"Food in larynx causing other injury,initial encou",1
15747,"Follicular lymphoma grade IIIb,unspecified site",1
15748,EDEMA OF EYELID,1
15749,"Follicular lymphoma grade IIIa,unspecified site",1
15750,"Follicular lymphoma grade IIIa,intra-abdominal ly",1
15751,"Follicular lymphoma grade II,nodes of head,face,",1
15752,"Follicular lymphoma grade II,nodes of axilla and ",1
15753,EFFECTS RADIATION NOS,1
15754,"Follicular lymphoma grade II,intrathoracic lymph ",1
15755,"Follicular lymphoma grade II,intrapelvic lymph no",1
15756,"Follicular lymphoma grade II,intra-abdominal lymp",1
15757,"Follicular lymphoma grade I,unspecified site",1
15758,"Follicular lymphoma grade I,intrathoracic lymph n",1
15759,ELECTIVE SURGERY NEC,1
15760,"Toxic effect of tobacco cigarettes,accidental,in",1
15761,ELEV C-REACT PROTEIN,1
15762,"Follicular lymphoma,unsp,intra-abdominal lymph n",1
15763,"Food in pharynx causing asphyxiation,initial enco",1
15764,"Fracture of bony thorax,part unsp,init for clos ",1
15765,Food protein-induced enterocolitis syndrome,1
15766,Fracture of base of skull left side 7thB,1
15767,Fracture of angle of left mandible 7thB,1
15768,"Fracture of alveolus of maxilla,init for opn fx",1
15769,"Fracture of alveolus of mandible,init for clos fx",1
15770,"Foreign body in mouth,initial encounter",1
15771,"Foreign body in left ear,initial encounter",1
15772,"Foreign body in bladder,initial encounter",1
15773,"Foreign body in anus and rectum,subsequent encoun",1
15774,ECHINOCOCC GRANUL LIVER,1
15775,"Foreign body granuloma of soft tissue,NEC,oth si",1
15776,"Foot drop,unspecified foot",1
15777,Foodborne staphylococcal intoxication,1
15778,ECONOMIC PROBLEM,1
15779,ECTOPIC HORMONE SECR NEC,1
15780,ECTOPIC PREG NEC W/ IUP,1
15781,TRANS ARTHROPATHY-MULT,1
15782,ESOPHAGUS INJURY-OPEN,1
15783,TRANS ISCHEMIC DEAFNESS,1
15784,"External constriction,left lesser toe(s),initial",1
15785,"Extremely low birth weight newborn,750-999 grams",1
15786,"Extreme immaturity of NB,gestatnl age 26 complete",1
15787,Encntr for oth proc for purpose oth than remedy he,1
15788,"Encntr for suprvsn of normal first preg,second tr",1
15789,"Extreme immaturity of NB,gestatnl age 23 complete",1
15790,"Encntr for suprvsn of normal preg,unsp,second tr",1
15791,"External constriction,right lesser toe(s),init e",1
15792,"External constriction of other finger,initial enc",1
15793,TRANSFUSION REACTION NOS,1
15794,"External constriction of lip,initial encounter",1
15795,Extended spectrum beta lactamase (ESBL) resistance,1
15796,Expressive language disorder,1
15797,"Exposure of implnt prstht mtrl to surrnd org/tiss,",1
15798,Exposure of implanted prstht mtrl to surrnd org/ti,1
15799,"Exposure keratoconjunctivitis,left eye",1
15800,Exdtve age-rel mclr degn left eye with inact chrdl,1
15801,Torsion of ovary and ovarian pedicle unspecified s,1
15802,"Exudative retinopathy,bilateral",1
15803,FAT NECROSIS OF BREAST,1
15804,Encntr for exam for nrml cmprsn and ctrl in clncl ,1
15805,TUBRCLOMA BRAIN-OTH TEST,1
15806,FETAL&NEWBRN ASP W/RES O,1
15807,FETAL CNS MALFOR-ANTEPAR,1
15808,Embolism due to internal orthopedic prosth dev/grf,1
15809,FETAL ABNORM NOS-ANTEPAR,1
15810,"Torus fracture of lower end of left fibula,init f",1
15811,Encephalitis and encephalomyelitis in diseases cla,1
15812,FEMALE INFERTILITY NOS,1
15813,FEMALE GEN INFLAM NOS,1
15814,"Encephalocele,unspecified",1
15815,FEM PELV INFLAM DIS NEC,1
15816,FELTY'S SYNDROME,1
15817,FECAL URGENCY,1
15818,Tabes dorsalis,1
15819,Encntr for exam and obs fol alleged adult physical,1
15820,"Term delivery with preterm labor,third trimester,",1
15821,Tetany,1
15822,Encounter for aftercare following heart-lung trans,1
15823,Thoracic spina bifida without hydrocephalus,1
15824,Eosinophilic cellulitis [Wells],1
15825,Encounter for examination for driving license,1
15826,Thromboembolism in childbirth,1
15827,Enteroptosis,1
15828,"Enteropathic arthropathies,multiple sites",1
15829,Encounter for fitting and adjustment of gastric la,1
15830,"Thrombosis of genitourinary prosth dev/grft,init",1
15831,Endometriosis of fallopian tube,1
15832,Encounter for issue of repeat prescription,1
15833,Tinea corporis,1
15834,"Endo,nutritional and metab diseases comp preg,un",1
15835,Encysted hydrocele,1
15836,Encounter for sterilization,1
15837,Thyrotxcosis w toxic sing thyroid nodule w/o thyro,1
15838,Encounter for screening for nutritional disorder,1
15839,"Thoracogenic scoliosis,thoracic region",1
15840,Encounter for change or removal of drains,1
15841,Thalassemia minor,1
15842,"Episodic cluster headache,not intractable",1
15843,"Third [oculomotor] nerve palsy,bilateral",1
15844,Erysipelothrix sepsis,1
15845,Encounter for antenatal screening of mother,1
15846,Erosive (osteo)arthritis,1
15847,Torsion of appendix testis,1
15848,"Tonic pupil,right eye",1
15849,Erosion of other prosth materials to surrnd org/ti,1
15850,Encounter for attention to cystostomy,1
15851,"Tinnitus,unspecified ear",1
15852,Erectile dysfunction following simple prostatectom,1
15853,Encounter for attention to other artificial openin,1
15854,Erectile dysfunction due to arterial insufficiency,1
15855,Erb's paralysis due to birth injury,1
15856,"Episodic paroxysmal hemicrania,intractable",1
15857,Encounter for care and examination of lactating mo,1
15858,FIBROADENOSIS OF BREAST,1
15859,FIBROSCLEROSIS OF BREAST,1
15860,FINGER INJURY NOS,1
15861,TRANSVERSE COLON INJ-OPN,1
15862,"Total retinal detachment,right eye",1
15863,FX 1ST METACARP BASE-OPN,1
15864,EXTERNAL GENITAL INJURY,1
15865,FUNCT URIN INCONTINENCE,1
15866,FUM/VAPOR RESP COND NOS,1
15867,TRAUM ARTHROPATH-FOREARM,1
15868,FRIEDREICH'S ATAXIA,1
15869,EXTRAOCUL MUSCL MYOPATHY,1
15870,"Total retinal detachment,left eye",1
15871,FRACTURE ULNA NOS-OPEN,1
15872,FRACTURE ULNA NOS-CLOSED,1
15873,EXTREME IMMATUR/500-749G,1
15874,FRACTURE OF STERNUM-OPEN,1
15875,EXTREME IMMATUR/<500GRAM,1
15876,TRAUM MYOSITIS OSSIFICAN,1
15877,Tourette's disorder,1
15878,TRANSV/OBLIQ LIE-ANTEPAR,1
15879,Early mucocutaneous congenital syphilis,1
15880,TRANSV VAGINAL SEPTUM    F,1
15881,EXAM-CLINICAL RESEARCH,1
15882,EXAM-MEDICOLEGAL REASONS,1
15883,FX CUBOID-OPEN,1
15884,FX CONDYL PROC MAND-OPEN,1
15885,"Toxic eff of corrosv acids and acid-like substnc,",1
15886,EXCITATIV TYPE PSYCHOSIS,1
15887,FX CLAVICLE NOS-OPEN,1
15888,EXHAUSTION-EXCESS EXERT,1
15889,EXOSTOSIS OF JAW,1
15890,EXOTROPIA NOS,1
15891,TRANSIENT MET DIS NB NOS,1
15892,TRANSIENT TIC DISORDER,1
15893,EXPOS HAZARD CHEMICALS,1
15894,EXPOSURE TO HAZARD SUBST,1
15895,TRANSPOS GREAT VESS NEC,1
15896,FOREIGN BODY TRUNK-INFEC,1
15897,FOREIGN BODY SHOULDR/ARM,1
15898,FIT ORTHOPEDIC DEVICES,1
15899,"Effusion,left wrist",1
15900,"Torus fx lower end of right tibia,subs for fx w n",1
15901,"Effusion,unspecified joint",1
15902,FLAT ANTERIOR CHAMBER,1
15903,"Ehrlichiosis,unspecified",1
15904,FLAIL CHEST,1
15905,FLACID HEMIPLEG-SIDE NOS,1
15906,"Electrocution,subsequent encounter",1
15907,Elevated C-reactive protein (CRP),1
15908,TUBOPLASTY OR VASOPLASTY,1
15909,Elevated prostate specific antigen [PSA],1
15910,"Torus fracture of upper end of right radius,init",1
15911,Embolism and thombos of superfic veins of low extr,1
15912,"Torus fracture of upper end of left tibia,init fo",1
15913,"Torus fracture of lower end of right radius,init",1
15914,TUBRCLOMA BRAIN-MICRO DX,1
15915,"Effusion,other site",1
15916,FOCAL CHORIORETINIT NOS,1
15917,Early-onset cerebellar ataxia,1
15918,TRICHOMONIASIS NEC,1
